Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,MAE
MEGNet,megnet_emb,matbench_dielectric,0,32,30.132254832671805,3.455939853155283,16.794494012187055,15.896149650505869,15.615860052027982,-0.006566359366846408,0.01856956764842429,0.2289895415306091
MEGNet,megnet_emb,matbench_dielectric,1,32,29.954627837001674,3.4454962444647346,16.70313591939604,15.78787617856861,15.283850509299759,0.010149928605425988,0.04330593180868097,0.3319684863090515
MEGNet,megnet_emb,matbench_dielectric,2,32,30.35821223011078,3.460339599731186,16.873945625047195,15.98296548869606,15.774851605762093,0.016788840043090624,0.027460854927674562,0.460330605506897
MEGNet,megnet_emb,matbench_dielectric,3,32,30.200539378060064,3.4524588863215575,16.713762807163015,15.7785747838083,15.653124605396052,0.052556666339630485,0.03457131053861314,0.345455139875412
MEGNet,megnet_emb,matbench_dielectric,4,32,30.205148612305493,3.454882225963761,16.612554941392037,15.798361863868024,15.513934942413995,0.02614518955815884,0.02139119874610195,0.3485632538795471
MEGNet,megnet_emb,matbench_log_gvrh,0,32,30.328283166433224,3.456524177498408,17.624306974625398,16.683754431424415,16.578632996507295,0.0186743922013859,0.028039980363428023,0.1076867207884788
MEGNet,megnet_emb,matbench_log_gvrh,1,32,30.466269801337912,3.459068395972495,17.525217168029798,16.616905858579972,16.551260081774945,0.031649776837192896,0.02145380605606035,0.1095267906785011
MEGNet,megnet_emb,matbench_log_gvrh,2,32,30.397210750640653,3.45412163114868,17.616440133982824,16.689335758410376,16.43559660491568,0.07043032072773592,0.00012870106159789923,0.0996569991111755
MEGNet,megnet_emb,matbench_log_gvrh,3,32,30.40102420046224,3.451590719416947,17.4849711809404,16.656588629877536,16.568270781754553,0.020363556883173654,-0.02248326151308954,0.1059641912579536
MEGNet,megnet_emb,matbench_log_gvrh,4,32,30.484469483431287,3.456322585230729,17.500490949424076,16.677294867142727,16.56396457617987,0.012527118762684582,0.057924015580197136,0.1097924932837486
MEGNet,megnet_emb,matbench_log_kvrh,0,32,30.53804130718535,3.454069755321492,17.540702917701417,16.740742632245578,16.56017126628068,0.0014546884214664832,0.025175151460167484,0.0765121579170227
MEGNet,megnet_emb,matbench_log_kvrh,1,32,30.38273725568973,3.457833822243636,17.59248738009646,16.723794376823562,16.549163315514136,0.01098683314134245,0.009301498049218138,0.0719734281301498
MEGNet,megnet_emb,matbench_log_kvrh,2,32,30.463189353740923,3.456471585443359,17.53999395236471,16.734740509793586,16.408070462728578,0.03146331179560813,-0.03585738806680744,0.0671965554356575
