Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,MAE
MEGNet,megnet_hm,matbench_phonons,1,32,17.534808174872925,3.447810702112193,18.028033996167398,12.739084674935965,11.367986159066238,0.15184167124793843,0.06823074859437776,33.763973236083984
MEGNet,megnet_hm,matbench_phonons,2,32,17.495364161079355,3.4396217019867645,18.332519506545562,12.892151482440806,11.266927324984227,0.09089086539661179,0.17120625406660037,35.508758544921875
MEGNet,megnet_hm,matbench_phonons,3,32,17.361314642325304,3.4503818940686433,18.254625848493383,12.629304141052272,11.69225633192145,0.1491442542787286,0.06810441099991674,33.169490814208984
MEGNet,megnet_hm,matbench_phonons,4,32,17.06908423746512,3.4458705344323217,19.996303361675988,14.457720603875018,11.711189158190054,0.024952118184375125,0.06308995653032073,31.989294052124023
MEGNet,megnet_hm,matbench_dielectric,0,32,16.120952345982154,3.4073704348097946,27.761205854333884,21.068112864179263,11.237460002858876,0.478522078702313,0.3466760161786976,0.2072653472423553
MEGNet,megnet_hm,matbench_dielectric,1,32,15.419741986639288,3.3960712322729636,28.369254455246598,22.60414055696315,10.588250192756437,0.351504946327089,0.22811258801597056,0.3075746595859527
MEGNet,megnet_hm,matbench_dielectric,2,32,15.497862356035803,3.4384723810476236,31.936690432740523,27.668355013592937,9.94698841260467,0.38747027809366275,0.3054842301001661,0.4348369240760803
MEGNet,megnet_hm,matbench_dielectric,3,32,15.605780229451426,3.412538879447926,28.129981497979706,21.84668912562497,10.809382298533171,0.30045212773873625,0.26635968072023647,0.3434158265590668
MEGNet,megnet_hm,matbench_dielectric,4,32,15.622667726391382,3.4228105103803563,29.67746848140534,24.988279840065488,10.465725685057572,0.33897906295141234,0.2459347639521613,0.3269305825233459
MEGNet,megnet_hm,matbench_log_gvrh,0,32,18.773165609372075,3.4024336552159955,22.275378887508534,15.49247754490984,13.67169472208529,0.3737844898999554,0.4051501151156684,0.0943138599395752
MEGNet,megnet_hm,matbench_log_gvrh,1,32,18.416531689542058,3.4207208013145745,22.99940227659038,16.873902752586382,13.177044308808917,0.43333734151001374,0.2516668023449512,0.0959092229604721
MEGNet,megnet_hm,matbench_log_gvrh,2,32,18.939348547737012,3.3786213026472516,22.52940308128259,16.422648603308456,13.410964765886991,0.42645289025195077,0.40815448215794586,0.0916943252086639
MEGNet,megnet_hm,matbench_log_gvrh,3,32,19.200962089822116,3.3995597533482638,22.534567006971088,16.3338717016137,13.13336296787053,0.3694972665346633,0.2928060044242513,0.0932576432824134
MEGNet,megnet_hm,matbench_log_gvrh,4,32,18.558627551789417,3.4185869718859587,22.368542419014666,16.486400663042446,13.527459634322176,0.37487775449291927,0.43159188543861404,0.0924016311764717
MEGNet,megnet_hm,matbench_log_kvrh,0,32,19.15599759117279,3.397903014830472,22.439838608015812,16.770885625752488,13.511388169431639,0.48335075765769014,0.29662930206968613,0.0664299428462982
MEGNet,megnet_hm,matbench_log_kvrh,1,32,18.42394326445835,3.3867540794543016,23.632569080520774,17.93402696036969,13.476373634473905,0.498264370091731,0.31238759648277414,0.065232902765274
MEGNet,megnet_hm,matbench_log_kvrh,2,32,18.885829807355833,3.3849271706746062,22.063795874765518,15.595923937734074,13.525333146806933,0.6468961605275286,0.2913847430150078,0.0624925605952739
MEGNet,megnet_hm,matbench_log_kvrh,3,32,19.004968667066855,3.3813567147737857,22.065441210533063,15.998074165377453,14.200989377014244,0.4512276211625077,0.2899804401568157,0.0703712925314903
MEGNet,megnet_hm,matbench_log_kvrh,4,32,18.997288718011934,3.3962854407556966,22.29013495837062,16.16474445801438,13.958190944672403,0.5151456536036211,0.3044792571620478,0.0656529515981674
MEGNet,megnet_hm,matbench_perovskites,0,32,17.493251429635205,3.3737626568802765,13.222155497444199,9.978649631530566,9.472052465383623,0.21857848001105265,0.2130025384728659,0.0406101420521736
MEGNet,megnet_hm,matbench_perovskites,1,32,17.596272931982924,3.389356617139169,13.506068435158243,10.462217631198948,9.200585695224108,0.15897558151415045,0.12305874529966986,0.0413478128612041
MEGNet,megnet_hm,matbench_perovskites,2,32,17.248747540937224,3.39038034037432,13.133853341112182,9.887286614790774,9.611777364704396,0.22763153018492668,0.11426500534740189,0.0405105650424957
MEGNet,megnet_hm,matbench_perovskites,3,32,17.447560786704447,3.3940803867122074,13.322614056726092,10.404756080433565,9.182612397039396,0.2681837032940991,0.24651499238598218,0.0385797321796417
MEGNet,megnet_hm,matbench_perovskites,4,32,17.469961497220012,3.3820924462714634,13.451974982019006,10.548359716000675,9.301583341955803,0.12346042579728723,0.09382168504890555,0.0407325588166713
MEGNet,megnet_hm,matbench_mp_gap,0,32,17.121051847700908,3.2965104800709186,20.1981423079233,15.455898256357255,14.05769002322027,0.3230978019608589,0.29113733751338927,0.2819198668003082
MEGNet,megnet_hm,matbench_mp_gap,1,32,17.084758971840373,3.262450614887294,19.82365380325969,15.217074963882144,14.573445755001993,0.25740379382209655,0.17466023592658372,0.262685477733612
MEGNet,megnet_hm,matbench_mp_gap,2,32,17.513087802722513,3.3050622080203085,20.54542535456793,16.190158215639936,13.786574358791947,0.3427116081021927,0.2619369923529346,0.2791180908679962
MEGNet,megnet_hm,matbench_mp_gap,3,32,17.366668468796675,3.2609213506450554,20.390080828279853,15.177597128495023,13.714722812513767,0.40177995300534475,0.23256057147570242,0.2755661010742187
MEGNet,megnet_hm,matbench_mp_gap,4,32,18.046781181363688,3.3495409191691206,19.949448649362953,15.218902712607605,14.052958330251865,0.25586564275457324,0.10767689112141705,0.2923040091991424
