Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Inverse_Squared_Distance,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,QCI,MAE
MEGNet,megnet_emb,matbench_mp_e_form,1,16,15.490655045153098,2.7649787324322803,0.02148222753136783,42.43871167537597,38.50390310000847,28.599578641227406,0.0766853205887559,0.04024931788680448,1.2064252173214534,0.0395881421864032
MEGNet,megnet_emb,matbench_mp_e_form,2,16,15.507055550568177,2.7641537250968984,0.02111096924861479,42.24885658466575,38.69406174108998,30.5286379247154,0.08027057193959199,0.0348831026282897,1.166051371374584,0.0374767705798149
MEGNet,megnet_emb,matbench_mp_e_form,3,16,15.467308331361318,2.7614239418765116,0.01897455525417728,42.409966270216884,39.11022556701546,30.173892408960324,0.09394677636220829,0.04808323317868936,1.2119001518776407,0.0405208058655262
MEGNet,megnet_emb,matbench_mp_e_form,4,16,15.556518854459373,2.7635309143866262,0.021119640600073115,42.253553276984185,38.44338003686011,32.734821068512375,0.13503982248286248,0.03560485060913409,1.4010285128487872,0.0339016169309616
MEGNet,megnet_emb,matbench_jdft2d,0,32,29.859814579375506,3.452922791802365,0.01117037826283621,38.386067782819225,37.17090870886214,32.321355431531664,0.016306798547371597,0.029145715649786897,1.0991773612427438,35.92290496826172
MEGNet,megnet_emb,matbench_jdft2d,1,32,30.190962534198704,3.4550549857801043,0.010727087739806882,37.92262089202055,36.87597076608094,30.10700025747709,0.002835937795713483,0.011459908508430174,1.1421943508604266,57.22069549560547
MEGNet,megnet_emb,matbench_jdft2d,2,32,29.93102356212621,3.442587434512467,0.01088516913074588,38.02763408808103,36.85153170967506,28.993469842189672,0.01894049196620838,-0.0021169383878212418,1.17969257344891,77.21370697021484
MEGNet,megnet_emb,matbench_jdft2d,3,32,30.020771832338408,3.4529651798184724,0.00995837258851612,37.47652099063672,36.26552119652111,22.059663108859553,0.008060675273596935,0.02080977763478648,1.0123356416615008,40.14830780029297
MEGNet,megnet_emb,matbench_jdft2d,4,32,30.148963924745978,3.448171169232635,0.010599980401346727,38.39753429397388,37.248283415054004,28.61091737066099,0.033406502949650155,0.026082942239612925,1.0294183448056744,54.26488876342773
MEGNet,megnet_emb,matbench_phonons,0,32,29.70136595178387,3.4510869785526106,0.010540240112428014,31.426895013282543,30.485412434253874,22.232620968739127,0.027126090277974264,0.013399842671856009,0.8973433649014002,37.96909713745117
MEGNet,megnet_emb,matbench_phonons,1,32,29.6470601732258,3.45389007019887,0.010796591678313221,31.7983669238339,30.94943557648765,27.09002328547485,-0.038619948665910585,-0.006075769160622472,1.1581434900873404,36.47252655029297
MEGNet,megnet_emb,matbench_phonons,2,32,29.67222408026344,3.4506041021931213,0.010807494853220826,31.372596393653527,30.509453244858644,24.989235731126826,-0.013677230525390986,0.02023640852631655,1.1275393573724657,33.81334686279297
MEGNet,megnet_emb,matbench_phonons,3,32,29.790834284121967,3.4542283885682328,0.010532380184626317,31.796560606609333,30.906542482158944,25.51937012297742,0.041286380929177836,0.007363936353067029,0.8731202822157296,33.98191452026367
MEGNet,megnet_emb,matbench_phonons,4,32,29.79831507464605,3.45330794440178,0.0104596103363631,31.81132807545013,30.96973470805671,24.970871552221354,-0.03934774902516838,0.016626092263504748,1.2800485810534286,28.44224739074707
MEGNet,megnet_emb,matbench_dielectric,0,32,30.132254832671794,3.455939853155283,0.010704057250925608,39.9683265237832,38.69007919724371,32.08212384374592,-0.006566359366846408,0.024351339763244245,1.288578878312118,0.2289895415306091
MEGNet,megnet_emb,matbench_dielectric,1,32,29.954627837001684,3.4454962444647346,0.010731523526549524,39.451426458623516,38.136710116071406,32.73036582809379,0.010149928605425988,0.0048831515627319865,0.9100712532680302,0.3319684863090515
MEGNet,megnet_emb,matbench_dielectric,2,32,30.358212230110766,3.460339599731186,0.010379278811053796,39.89824977127202,38.62981461588044,31.54971351098075,0.016788840043090624,0.008745446863791077,0.9159246856661024,0.460330605506897
MEGNet,megnet_emb,matbench_dielectric,3,32,30.20053937806008,3.4524588863215575,0.010772080610361032,39.920165835225674,38.65020313795362,32.273648681799834,0.052556666339630485,0.01565374458762608,0.9796389711086873,0.345455139875412
MEGNet,megnet_emb,matbench_dielectric,4,32,30.20514861230548,3.454882225963761,0.010749005654029538,39.36312902682362,38.192786505957166,32.27344242731494,0.02614518955815884,0.01459592439567882,0.8893641476823475,0.3485632538795471
MEGNet,megnet_emb,matbench_log_gvrh,0,32,30.328283166433252,3.456524177498408,0.010198705371278474,41.84591222836748,40.47683923388596,34.88573277736985,0.0186743922013859,0.0319595642260813,1.1852743257283225,0.1076867207884788
MEGNet,megnet_emb,matbench_log_gvrh,1,32,30.466269801337926,3.459068395972495,0.010857673519256959,41.89535477717678,40.62921942059121,32.435480706447706,0.031649776837192896,0.005933411627608268,0.8411564059336956,0.1095267906785011
MEGNet,megnet_emb,matbench_log_gvrh,2,32,30.397210750640653,3.45412163114868,0.01057832671671445,41.94685499204995,40.62144789254701,31.62974657821003,0.07043032072773592,0.018727185902034364,1.0944941987030077,0.0996569991111755
MEGNet,megnet_emb,matbench_log_gvrh,3,32,30.40102420046224,3.451590719416947,0.0100630382555225,41.9896616167357,40.86702969756632,32.43210776895209,0.020363556883173654,0.000919567427329209,1.196683315946028,0.1059641912579536
MEGNet,megnet_emb,matbench_log_gvrh,4,32,30.48446948343126,3.456322585230729,0.01036661163028228,41.93849900551717,40.75655433672997,33.04747939662093,0.012527118762684582,0.016302951137841807,0.874179391262299,0.1097924932837486
MEGNet,megnet_emb,matbench_log_kvrh,0,32,30.53804130718535,3.454069755321492,0.01053704512829342,41.84137061357183,40.70673989958744,34.3199018520189,0.0014546884214664832,0.008955354690674107,0.905520551348353,0.0765121579170227
MEGNet,megnet_emb,matbench_log_kvrh,1,32,30.38273725568973,3.457833822243636,0.010805998885559494,42.160259652499676,41.01249705912572,32.39851721196779,0.01098683314134245,0.012721608315054025,1.1969684331702777,0.0719734281301498
MEGNet,megnet_emb,matbench_log_kvrh,2,32,30.46318935374091,3.456471585443359,0.01093589708745753,41.99617020142116,40.86958521887473,33.371910685791654,0.03146331179560813,0.0015482547749725091,1.4258349501181258,0.0671965554356575
MEGNet,megnet_emb,matbench_log_kvrh,3,32,30.327959482318736,3.448556267190403,0.010297942472177584,41.88956452418477,40.52260426599503,35.142497456450315,0.03494828670439797,0.02701173505183585,0.9393333197059286,0.0794725269079208
MEGNet,megnet_emb,matbench_log_kvrh,4,32,30.518998382779227,3.4591171192973746,0.010769961420442875,41.884401322404344,40.762845396964295,33.534108848083356,0.06422029905647304,0.01669047192019543,1.0405157091084578,0.0732844248414039
MEGNet,megnet_emb,matbench_perovskites,0,32,29.55370323025211,3.4511775493439867,0.010848334423963806,27.6894144330954,26.949528594717737,24.402112793299505,-0.005773887129819333,0.01888019609278782,1.0518973324559084,0.0416939742863178
MEGNet,megnet_emb,matbench_perovskites,1,32,29.480041740421175,3.455940129477954,0.010731405373014554,27.776855619128614,27.094308293635567,22.20418574173524,0.0010349428083737174,0.00689414748699975,1.1266929035226583,0.0447780676186084
MEGNet,megnet_emb,matbench_perovskites,2,32,29.527393419712467,3.4493444648557374,0.010314674560760738,27.842394442064812,27.157126211143172,22.533645343359304,-0.0070976735266857285,0.010213365081556234,1.186667980100621,0.0406564064323902
MEGNet,megnet_emb,matbench_perovskites,3,32,29.529943862313516,3.4523164203632724,0.010886465822475997,27.718257532250917,27.000793412926832,22.56120335746999,0.021217403465309446,0.02288600410842001,0.9000457938755555,0.0392822101712226
MEGNet,megnet_emb,matbench_perovskites,4,32,29.443005943680358,3.44400733265127,0.010031419360479986,27.826249125741853,26.899412105714767,23.230545926883803,-0.025800689672281624,0.0089428984056653,0.9042506723560397,0.0400415956974029
MEGNet,megnet_emb,matbench_mp_gap,0,32,29.921609081579124,3.454616625357482,0.010367997387362394,42.3005373796779,40.27308769480317,28.327314489440106,0.08904556248692677,0.01028182180145254,1.3043553460216055,0.2639215588569641
MEGNet,megnet_emb,matbench_mp_gap,1,32,30.115977950187172,3.4530247041462827,0.01037904116792663,42.06730443315358,40.44370083220897,26.74980466172832,0.04158565136304115,0.009537365065137561,1.0724977807305929,0.2691919207572937
MEGNet,megnet_emb,matbench_mp_gap,2,32,30.040588276929427,3.4516528856165207,0.010104062645327124,42.08239560978725,40.27753066192919,31.52745197658847,0.01806951345562322,0.007404617567339379,0.9603393692900937,0.2588180303573608
MEGNet,megnet_emb,matbench_mp_gap,3,32,29.88679702050583,3.457359697830968,0.009824687806327354,42.21963401126611,40.22881093243949,26.115271662916335,0.11555216866704769,0.023168992495977012,1.1936220275859983,0.2529686093330383
MEGNet,megnet_emb,matbench_mp_gap,4,32,29.86619213370098,3.451711524035964,0.010231033035710999,42.33866323135243,39.990897066857876,22.08521262792487,0.0730445493738452,0.04010737632502423,0.9994781862664055,0.2666139304637909
MEGNet,megnet_emb,matbench_mp_e_form,0,32,30.19653588174994,3.4571369924796733,0.010224892658726763,41.96014653908659,39.59668656379757,32.084689572735684,0.08703485458067488,0.013415966508487002,0.9361755362999649,0.0326036252081394
MEGNet,megnet_emb,matbench_mp_e_form,1,32,30.07382554135254,3.448606339881512,0.011203225745825874,41.98806673377695,39.586852179569696,27.70050105244399,0.07667722864628342,0.030799041089988783,0.9777901074781905,0.0316512547433376
MEGNet,megnet_emb,matbench_mp_e_form,2,32,30.14611591894232,3.453118531817146,0.010958660750743988,41.9133039682345,39.41411979734538,34.67239822642756,0.07257477796538045,0.01692381327502567,0.9005174167394846,0.0384587310254573
MEGNet,megnet_emb,matbench_mp_e_form,3,32,30.29259493327405,3.4574688495930848,0.010967836612074695,41.96180018413786,39.50799803919169,34.114757306416266,0.09537390372899511,0.007531734392183738,0.9772015608035475,0.0338867716491222
