Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Inverse_Squared_Distance,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,QCI,MAE
CGCNN,cgcnn_emb,matbench_perovskites,4,8,7.8578845820755046,2.0655179572762274,0.048843111473041184,28.601258513698514,25.811960435183288,15.13811740981266,0.02716126776694113,0.12225410863798111,1.8738987528633444,0.0780360549688339
CGCNN,cgcnn_emb,matbench_mp_gap,0,8,7.891124178537116,2.067513733299864,0.057576016810189715,43.47039486662872,39.60304255654917,21.56324613306267,0.07195260700694417,0.14616660931903314,1.6898608595907334,0.3424437344074249
CGCNN,cgcnn_emb,matbench_mp_gap,1,8,7.8621601134544745,2.0690167769340198,0.05297457569073537,42.97272010275813,38.296326059235284,23.9156273714619,0.00528484041446465,0.09396557056496845,1.4638312534836582,0.3417320251464844
CGCNN,cgcnn_emb,matbench_mp_gap,2,8,7.856245425750366,2.067007146674767,0.054190188499511564,43.36069920113055,38.70677217254533,18.991625069871823,0.03638745260255084,0.13616577191874385,1.6373621021489475,0.3622309863567352
CGCNN,cgcnn_emb,matbench_mp_gap,3,8,7.916638489484063,2.066858311764777,0.05237105839250104,42.987171152885864,38.74751153854173,21.301270309359644,0.018438593017884246,0.08937248684990005,1.9284231009858308,0.3807125389575958
CGCNN,cgcnn_emb,matbench_mp_gap,4,8,7.8900772301930875,2.072759545116868,0.05268634373572493,43.29446032360019,39.008144554323756,25.74821977476008,0.08302948366039849,0.15427390982657788,1.6789199962852266,0.3407089114189148
CGCNN,cgcnn_emb,matbench_mp_e_form,0,8,7.897892003301742,2.06793446802583,0.047539660687627,42.803768544124914,38.687414636502936,26.110415236441426,-0.0033028764805414553,0.09016160302273578,1.4938620145802395,0.2065497040748596
CGCNN,cgcnn_emb,matbench_mp_e_form,1,8,7.872327151395498,2.065717301917234,0.04586248239748855,43.022304043715785,38.657003371857954,24.342623975129733,0.010487934778155598,0.09475748990737677,1.6029173681672908,0.176656037569046
CGCNN,cgcnn_emb,matbench_mp_e_form,2,8,7.883526760640018,2.0633601822619543,0.047514890740227626,43.05248929383605,38.52516761945678,21.94422100669933,0.0040330024567233275,0.11523032299938735,1.5197895533784531,0.2023722380399704
CGCNN,cgcnn_emb,matbench_mp_e_form,3,8,7.917244330390809,2.0693544030612,0.044754278342932434,42.806091944211566,38.601060694297956,25.127246812595633,0.06492412576828417,0.13727829840382558,1.689274567625049,0.2021406292915344
CGCNN,cgcnn_emb,matbench_mp_e_form,4,8,7.894307208762164,2.062109757173001,0.04617633797549899,43.01889700401624,38.757993637089484,20.932378120950276,0.06786299508412934,0.11544714673497246,1.6194062013467327,0.1415694653987884
CGCNN,cgcnn_emb,matbench_jdft2d,0,16,15.46912291345995,2.756527206812529,0.023297490258368123,38.773307553085104,36.374257415885296,29.647283272863792,0.005023335480365451,0.06006957689434725,1.3162039693364433,33.801387786865234
CGCNN,cgcnn_emb,matbench_jdft2d,1,16,15.581712426776567,2.760486778769577,0.022392258497339154,38.14549830536584,36.151811650078336,28.1707516260211,0.005835836707585152,0.054462198768710376,1.2269674536093258,60.42766571044922
CGCNN,cgcnn_emb,matbench_jdft2d,2,16,15.528933233601142,2.7627190670619695,0.022559132233980397,38.37637223088157,36.633832181878226,25.444449096538214,0.025294260615950834,0.04186751815247649,1.1285109726517215,75.69554138183594
CGCNN,cgcnn_emb,matbench_jdft2d,3,16,15.483695562649794,2.7604092573782006,0.01989797078420623,37.746847585010826,35.57926382374137,26.153953990510317,0.0062764726162332545,0.035595070346409234,1.2373528817155297,40.55635452270508
CGCNN,cgcnn_emb,matbench_jdft2d,4,16,15.556837202729481,2.7626309701688507,0.02095778719101911,38.78505725895146,36.6343589217801,29.652988126118345,0.020330214001268183,0.06646460704818993,1.2644059840407746,55.61809539794922
CGCNN,cgcnn_emb,matbench_phonons,0,16,15.337300490936219,2.7535754742432346,0.021785599019794096,31.62882614456098,29.56803495419718,19.948103183236885,-0.017135499207606972,0.07310733366906706,1.4840924589564337,130.562744140625
CGCNN,cgcnn_emb,matbench_phonons,1,16,15.500015190548266,2.760165057453311,0.02349470763109402,32.12872179554748,30.45179747265757,21.493329635239146,0.0004483299708585519,0.05679156228918548,1.4316151169586355,74.40170288085938
CGCNN,cgcnn_emb,matbench_phonons,2,16,15.459318542684287,2.7642324241586076,0.023028313717208745,31.61879910359744,29.990428447198894,23.578457917776916,0.018373729476153244,0.05703883426156295,1.4542046451838104,99.0715789794922
CGCNN,cgcnn_emb,matbench_phonons,3,16,15.501647258639746,2.7633556281594016,0.02531403552404301,32.166344687271,30.17185207195969,23.739382696065125,-0.03721138758125981,0.056015815906269285,1.1786571355834108,89.39512634277344
CGCNN,cgcnn_emb,matbench_phonons,4,16,15.466223260751097,2.7454767078221414,0.02361388073541299,32.09118346620215,30.2488742881075,23.40213141243206,-0.012915761801348725,0.06040781359582545,1.1478173303548793,97.2642822265625
CGCNN,cgcnn_emb,matbench_dielectric,0,16,15.461506661306245,2.7641606064685895,0.02275543016506012,40.511028569128776,38.31024799788685,26.348924444755955,0.008435790952995282,0.03961873225306352,1.2173147266794078,0.3809032738208771
CGCNN,cgcnn_emb,matbench_dielectric,1,16,15.56585773523906,2.758823519556399,0.024049160849029843,39.85623381456692,37.46130166843556,28.39091884372992,-0.0037487133002504264,0.045130749007131016,1.1949508011149244,0.494316041469574
CGCNN,cgcnn_emb,matbench_dielectric,2,16,15.521853928786737,2.7611326748795255,0.02355876038451941,40.28253324076671,37.960490143145265,24.171739359765688,-0.0018252229946354316,0.06573818501639295,1.155268340674838,0.5793142318725586
CGCNN,cgcnn_emb,matbench_dielectric,3,16,15.64032497131875,2.7650040930487743,0.02286636698976114,40.323370532767065,38.156352218284624,26.554846207262482,0.010395686919379324,0.07648981373278912,1.1989468312163307,0.5216547250747681
CGCNN,cgcnn_emb,matbench_dielectric,4,16,15.54292761293196,2.7603963848888857,0.0233451597016574,39.90045953713278,37.83753444796669,28.532281389434207,0.027854621768577698,0.055415149584678365,1.1574478408290008,0.5217497944831848
CGCNN,cgcnn_emb,matbench_log_gvrh,0,16,15.553024938931598,2.7579884431967487,0.02262582339478073,42.324502369885444,39.75822336243331,32.73462239693253,0.019130390392689867,0.034817579209041355,1.3533615760199993,0.1119535788893699
CGCNN,cgcnn_emb,matbench_log_gvrh,1,16,15.586895846886565,2.764612900301468,0.021622991230137126,42.25256762007061,39.85846314522118,32.085034976626076,-0.01738457498998107,0.057480095366349564,1.0901455554495598,0.111732006072998
CGCNN,cgcnn_emb,matbench_log_gvrh,2,16,15.53867213813151,2.761609823756563,0.02200554517297337,42.386828185753025,40.04183407307387,29.185405640628353,-0.017575733107244272,0.05005468609759668,1.1856289466242038,0.1137584596872329
CGCNN,cgcnn_emb,matbench_log_gvrh,3,16,15.592394611579905,2.761588401022138,0.02187049090082696,42.29484092410541,39.96478901071789,33.589095192544754,0.025440313111545987,0.04289422280144888,1.357615251541448,0.1262623965740203
CGCNN,cgcnn_emb,matbench_log_gvrh,4,16,15.602307043015193,2.7652586994922532,0.022543697118239,42.45879045680143,40.236657868604006,25.709714745528842,0.0009097907481279305,0.05778310830042608,1.1137739810877765,0.1158003658056259
CGCNN,cgcnn_emb,matbench_log_kvrh,0,16,15.633300452433241,2.766657503938396,0.023724789024860013,42.321911780705896,39.94281726775871,30.070122820078513,-0.016853857198448802,0.047801266912641714,1.3153279883335756,0.083310067653656
CGCNN,cgcnn_emb,matbench_log_kvrh,1,16,15.541425877541593,2.760005045180403,0.02127444236401956,42.48359926936919,40.17725397423946,27.481643765977807,0.0036301684031190616,0.05128633098146129,1.3889300551256332,0.0862595736980438
CGCNN,cgcnn_emb,matbench_log_kvrh,2,16,15.591652350361661,2.753855989913627,0.02294588641372971,42.4954842130736,40.27808271942846,27.224883926538347,0.016819876105959912,0.04474432215135836,1.2081390708287276,0.0844942256808281
CGCNN,cgcnn_emb,matbench_log_kvrh,3,16,15.565473571160576,2.7587659358274674,0.023450231247256075,42.47574535989825,39.93410277750421,28.52671263121169,-0.021091508062129227,0.02404323687986995,1.0904567270606758,0.0883329510688781
CGCNN,cgcnn_emb,matbench_log_kvrh,4,16,15.640195939360604,2.7512739553259618,0.023343724165683442,42.26159934245899,40.24504380310784,31.818730112829694,-0.026901632005209394,0.02713266647005374,1.0445630127062893,0.0871691480278968
CGCNN,cgcnn_emb,matbench_perovskites,0,16,15.55492544056588,2.761148727095557,0.022107704768957334,27.960536497635974,26.4950944687136,22.45608197012381,-0.026452822328681524,0.05911795936720744,1.1764403078941663,0.0651943013072013
CGCNN,cgcnn_emb,matbench_perovskites,1,16,15.369346421106423,2.759749201149346,0.02091495563106822,28.114945287157898,26.675604819126303,18.755842485650515,-0.024054585405342895,0.04048884576439615,1.149661941427551,0.0640009269118309
CGCNN,cgcnn_emb,matbench_perovskites,2,16,15.33152920831063,2.7619148407019942,0.022145874665945624,28.01819670354032,26.463348013005614,21.922067071911005,0.01188212927756654,0.049693592983199086,1.2376057080552452,0.0643138587474823
CGCNN,cgcnn_emb,matbench_perovskites,3,16,15.396679026018367,2.7591960774654094,0.022299240547532625,28.33156994372108,27.013702869738076,16.301872377978945,-0.02873272021567465,0.05086787269056469,1.6261780028587376,0.0627612099051475
CGCNN,cgcnn_emb,matbench_perovskites,4,16,15.50418615434797,2.7596063080380513,0.022460487306249624,27.916905531224156,26.3921446616686,21.545570813028174,-0.008567937610933172,0.048086730433105976,1.1398760043455005,0.0664164498448371
CGCNN,cgcnn_emb,matbench_mp_gap,0,16,15.514217333505908,2.7607967786005476,0.025391478051171604,42.53265168520705,40.239014063679114,27.53932576523811,0.011465945334894425,0.06609290112667196,1.2093748903104222,0.3022975027561188
CGCNN,cgcnn_emb,matbench_mp_gap,1,16,15.629255469749536,2.760571927365338,0.025554132349703752,42.44634345916913,40.30078187759017,23.472077228035314,0.032314330303864866,0.04600754722747028,1.1826005503606947,0.2991625666618347
CGCNN,cgcnn_emb,matbench_mp_gap,2,16,15.60554132047479,2.7570643615799826,0.025310700666800266,42.421299051855726,39.950693304229546,29.2409116677876,0.004244493539532704,0.060695412970177415,1.2611056774031133,0.312005341053009
CGCNN,cgcnn_emb,matbench_mp_gap,3,16,15.61241864320879,2.7559144462575205,0.023513403456573666,42.284574101747275,39.83246469459256,28.419417231059015,-0.007984199689036433,0.0450031775731778,1.0568836353545377,0.3263181746006012
CGCNN,cgcnn_emb,matbench_mp_gap,4,16,15.614779395381749,2.761591451373514,0.027376491005466654,42.53913233743416,40.149907644924596,26.017881033081398,0.0373696448212968,0.039805545808816234,1.070446352806033,0.3037856817245483
CGCNN,cgcnn_emb,matbench_mp_e_form,0,16,15.613490335837955,2.7653132693948193,0.02226049806922486,42.18526050368255,39.99224047536489,32.50916827566898,0.04698577954912088,0.04356237520338524,1.0793907958761857,0.1088057234883308
CGCNN,cgcnn_emb,matbench_mp_e_form,1,16,15.589240003404507,2.760316805208495,0.023677533073181198,42.474990975978585,40.257225911442056,29.053815023901645,-0.012911024523230842,0.041515915611265226,1.5438731628032123,0.1544148921966552
CGCNN,cgcnn_emb,matbench_mp_e_form,2,16,15.518459086483574,2.7598713481613775,0.023081716002828254,42.275346740374786,39.806771223677195,28.237943793458932,0.0024487418761333702,0.03959459970799347,1.2546897380373747,0.1552591174840927
CGCNN,cgcnn_emb,matbench_mp_e_form,3,16,15.577609235287834,2.7622857675850048,0.023566923777903658,42.203935709853305,39.554608551552285,31.423856349603764,0.01995067443750947,0.048016387141618336,1.1262230041343388,0.1876784414052963
CGCNN,cgcnn_emb,matbench_mp_e_form,4,16,15.665836044670671,2.765166786154981,0.022905661792432315,42.169987804498355,40.00755377853677,27.190830962826062,0.0006796776386056899,0.04417683603255292,1.0095955349850743,0.108472928404808
CGCNN,cgcnn_emb,matbench_jdft2d,0,32,29.859923339958673,3.451382487268431,0.011200232080385524,38.41220600170758,37.211975112053146,31.833065784643676,-0.03070228230174529,-0.006124932647798468,1.1028298282228042,35.546417236328125
CGCNN,cgcnn_emb,matbench_jdft2d,1,32,30.039342697304956,3.444789531363197,0.010831211767058183,37.949609102480196,36.86177757413788,30.582571702615247,0.02009976309942467,0.007654384816199477,1.1098798385487119,60.74628448486328
CGCNN,cgcnn_emb,matbench_jdft2d,2,32,30.021692577098197,3.4488632042952543,0.01101877788363454,37.88197007052413,36.84310487561985,28.2463993884616,-0.012819837843529535,0.00848230312949856,1.4410770313258667,74.09516906738281
CGCNN,cgcnn_emb,matbench_jdft2d,3,32,29.924375294490883,3.449132699437685,0.010934924850483033,37.48940307976658,36.29688681982889,28.21634660377106,0.012591038748443887,0.011128210981777251,1.0266307406224155,45.19647979736328
CGCNN,cgcnn_emb,matbench_jdft2d,4,32,30.214024171172134,3.4527661057329757,0.010639944929782565,38.34326341928702,36.98432194963516,29.596187358706292,-0.028662671535646125,0.003535046274175268,1.0656517997615413,54.82109069824219
CGCNN,cgcnn_emb,matbench_phonons,0,32,29.285773592553454,3.4489948438480416,0.011299363666817334,31.346062841270033,30.241549081950623,24.49385037528323,-0.0016473177591044025,0.012980736463995744,0.9480210249787531,128.8140106201172
CGCNN,cgcnn_emb,matbench_phonons,1,32,29.78023792852145,3.4545101859940153,0.011106213624612005,31.824178722714855,30.761933517041065,25.074136664103502,-0.018689128718083706,-0.005355067174799466,0.9708921192874779,83.5193099975586
CGCNN,cgcnn_emb,matbench_phonons,2,32,29.708556465385488,3.4476853072821187,0.010766058426116906,31.404910715103465,30.62819870905199,25.82386742165091,0.014455242467158276,0.011512431940232713,1.3903027043028038,106.9537353515625
CGCNN,cgcnn_emb,matbench_phonons,3,32,29.519436190964512,3.448889462241577,0.010977803341953425,31.91698059691205,31.032070897159315,24.52736658762991,-0.01009466635880859,0.004536242847513733,0.939823445777804,99.46365356445312
CGCNN,cgcnn_emb,matbench_phonons,4,32,29.627947925398463,3.450299951203194,0.010841440387442074,31.890130511381187,30.898038934668726,23.34598076843687,-0.03763982375883535,-0.009552632705393513,0.9554568673577815,101.67054748535156
CGCNN,cgcnn_emb,matbench_dielectric,0,32,30.059529882533322,3.450170611204835,0.011184355327749482,39.96402089611034,38.66401230792609,30.692175767412568,0.012249983108848068,0.015459037036592804,0.9625096509300781,0.3890386521816253
CGCNN,cgcnn_emb,matbench_dielectric,1,32,30.040943000880784,3.4522897144970486,0.011203634164622838,39.37374092853628,37.95264954200721,30.591798192960415,-0.0003044740598975041,0.02214429925610644,0.9535945138996536,0.5022698044776917
CGCNN,cgcnn_emb,matbench_dielectric,2,32,30.08668024408979,3.456826296648207,0.011290515863028207,40.027571788524725,38.85309034496147,32.07014549509214,-0.016592535841721823,0.01788820982766067,1.0301153258732818,0.5623272657394409
CGCNN,cgcnn_emb,matbench_dielectric,3,32,30.081712577555137,3.4539018680651066,0.010587957743966592,39.92867673141459,38.59942712885496,28.274767892754287,0.003035853249339421,0.0010574112883790336,1.2416356989116724,0.5090243220329285
CGCNN,cgcnn_emb,matbench_dielectric,4,32,30.186058246742355,3.452490875813594,0.010548390240196867,39.362626974829546,38.199033052471655,32.94055710425133,-0.005601447565101093,0.01527086277303129,0.9644616247360069,0.5738855600357056
CGCNN,cgcnn_emb,matbench_log_gvrh,0,32,30.252223771711193,3.4567130703317503,0.011543819372203348,42.01895314863207,40.67126431612289,31.814265526572946,-0.01016563860899327,0.00923631262280219,1.1722852042102727,0.1121407896280288
CGCNN,cgcnn_emb,matbench_log_gvrh,1,32,30.179233341638298,3.4578342277761953,0.010698497318940854,42.01341725341438,40.88213270367837,31.694848105626157,0.03811515176362866,0.011047146798465416,0.8121743667111176,0.1134194433689117
CGCNN,cgcnn_emb,matbench_log_gvrh,2,32,30.32313033190624,3.453754553758708,0.01078409052982738,41.861777346269754,40.62663140807173,32.76957189204727,-0.01318751121974122,0.030321654427705392,0.8711646381370483,0.1180738732218742
CGCNN,cgcnn_emb,matbench_log_gvrh,3,32,30.130026972560906,3.45583985986766,0.010866713670889462,42.06456623570611,40.76925865701503,26.076512744236428,-0.016987826270459912,0.011396749260706685,0.995095261414406,0.1097217425704002
CGCNN,cgcnn_emb,matbench_log_gvrh,4,32,30.24497722638089,3.454220847982462,0.01077710054556735,41.94385848655909,40.75532750889695,34.89024201035181,-0.026782162335579084,0.019512015995639082,0.9921912529358435,0.1154986247420311
